Player,BattingAverage
Rogers Hornsby,0.358
Joe Jackson,0.356
Ed Delahanty,0.346
Tris Speaker,0.345
Ted Williams,0.344
Billy Hamilton,0.344
Babe Ruth,0.342
Harry Heilmann,0.342
Pete Browning,0.341
Willie Keeler,0.341
Bill Terry,0.341
George Sisler,0.34
Lou Gehrig,0.34
Nap Lajoie,0.339
Jesse Burkett,0.338
Tony Gwynn,0.338
Riggs Stephenson,0.336
Dan Brouthers,0.335
Al Simmons,0.334
John McGraw,0.334
Paul Waner,0.333
Eddie Collins,0.333
Mike Donlin,0.333
Cap Anson,0.331
Stan Musial,0.331
Heinie Manush,0.33
Honus Wagner,0.329
Wade Boggs,0.328
Rod Carew,0.328
Sam Thompson,0.327
Tip O'Neill,0.326
Bob Fothergill,0.325
Jimmie Foxx,0.325
Earle Combs,0.325
Joe DiMaggio,0.325
Babe Herman,0.324
Hugh Duffy,0.324
Joe Medwick,0.324
Edd Roush,0.323
Sam Rice,0.322
Ross Youngs,0.322
Kiki Cuyler,0.321
Charlie Gehringer,0.32
Chuck Klein,0.32
Pie Traynor,0.32
Mickey Cochrane,0.32
Ken Williams,0.319
Kirby Puckett,0.318
Earl Averill,0.318
Vladimir Guerrero,0.318
Arky Vaughan,0.318
Roberto Clemente,0.317
Chick Hafey,0.317
Joe Kelley,0.317
Zack Wheat,0.317
George Van Haltren,0.317
Lloyd Waner,0.316
Todd Helton,0.316
Frankie Frisch,0.316
Goose Goslin,0.316
Bibb Falk,0.314
Cecil Travis,0.314
Hank Greenberg,0.313
Jack Fournier,0.313
Elmer Flick,0.313
Nomar Garciaparra,0.313
Larry Walker,0.313
Bill Dickey,0.313
Dale Mitchell,0.312
Manny Ramirez,0.312
Johnny Mize,0.312
Joe Sewell,0.312
Fred Clarke,0.312
Barney McCosky,0.312
Edgar Martinez,0.312
Hughie Jennings,0.311
Freddie Lindstrom,0.311
Bing Miller,0.311
Jackie Robinson,0.311
Baby Doll Jacobson,0.311
Taffy Wright,0.311
Rip Radcliff,0.311
Ichiro Suzuki,0.311
Ginger Beaumont,0.311
Denny Lyons,0.31
Elmer Smith,0.31
Luke Appling,0.31
Irish Meusel,0.31
Bobby Veach,0.31
Roger Connor,0.31
Jim Bottomley,0.31
John Stone,0.31
Derek Jeter,0.31
Sam Crawford,0.309
Bob Meusel,0.309
Magglio Ordonez,0.309
Jack Tobin,0.309
Spud Davis,0.308
Mike Piazza,0.308
Richie Ashburn,0.308
Jimmy Ryan,0.308
Jake Beckley,0.308
Stuffy McInnis,0.307
Don Mattingly,0.307
Joe Vosmik,0.307
Home Run Baker,0.307
George Burns,0.307
Matty Alou,0.307
Hack Wilson,0.307
Mike Tiernan,0.307
Johnny Pesky,0.307
Jim O'Rourke,0.307
Miguel Cabrera,0.306
George Kell,0.306
Joe Mauer,0.306
Paul Molitor,0.306
Dixie Walker,0.306
Cupid Childs,0.306
Ernie Lombardi,0.306
Ralph Garr,0.306
Hank Aaron,0.305
Chick Stahl,0.305
