Year,Player,Team,RBI
1901,Nap Lajoie,Philadelphia,125
1902,Buck Freeman,Boston,121
1903,Buck Freeman,Boston,104
1904,Nap Lajoie,Cleveland,102
1905,Harry Davis,Philadelphia,83
1906,Harry Davis,Philadelphia,96
1907,Ty Cobb,Detroit,119
1908,Ty Cobb,Detroit,108
1909,Ty Cobb,Detroit,107
1910,Sam Crawford,Detroit,120
1911,Ty Cobb,Detroit,127
1912,Home Run Baker,Philadelphia,130
1913,Home Run Baker,Philadelphia,117
1914,Sam Crawford,Detroit,104
1915,Sam Crawford,Detroit,112
1916,Del Pratt,St. Louis,103
1917,Bobby Veach,Detroit,103
1918,Bobby Veach,Detroit,78
1919,Babe Ruth,Boston,114
1920,Babe Ruth,New York,137
1921,Babe Ruth,New York,171
1922,Ken Williams,St. Louis,155
1923,Babe Ruth,New York,131
1924,Goose Goslin,Washington,129
1925,Bob Meusel,New York,138
1926,Babe Ruth,New York,146
1927,Lou Gehrig,New York,175
1928,Lou Gehrig,New York,142
1929,Al Simmons,Philadelphia,157
1930,Lou Gehrig,New York,174
1931,Lou Gehrig,New York,184
1932,Jimmie Foxx,Philadelphia,169
1933,Jimmie Foxx,Philadelphia,163
1934,Lou Gehrig,New York,165
1935,Hank Greenberg,Detroit,170
1936,Hal Trosky,Cleveland,162
1937,Hank Greenberg,Detroit,183
1938,Jimmie Foxx,Boston,175
1939,Ted Williams,Boston,145
1940,Hank Greenberg,Detroit,150
1941,Joe DiMaggio,New York,125
1942,Ted Williams,Boston,137
1943,Rudy York,Detroit,118
1944,Vern Stephens,St. Louis,109
1945,Nick Etten,New York,111
1946,Hank Greenberg,Detroit,127
1947,Ted Williams,Boston,114
1948,Joe DiMaggio,New York,155
1949,Vern Stephens,Boston,159
1950,Walt Dropo,Boston,144
1951,Gus Zernial,Chicago,129
1952,Al Rosen,Cleveland,105
1953,Al Rosen,Cleveland,145
1954,Larry Doby,Cleveland,126
1955,Ray Boone,Detroit,116
1956,Mickey Mantle,New York,130
1957,Roy Sievers,Washington,114
1958,Jackie Jensen,Boston,122
1959,Jackie Jensen,Boston,112
1960,Roger Maris,New York,112
1961,Jim Gentile,Baltimore,141
1962,Harmon Killebrew,Minnesota,126
1963,Dick Stuart,Boston,118
1964,Brooks Robinson,Baltimore,118
1965,Rocky Colavito,Cleveland,108
1966,Frank Robinson,Baltimore,122
1967,Carl Yastrzemski,Boston,121
1968,Ken Harrelson,Boston,109
1969,Harmon Killebrew,Minnesota,140
1970,Frank Howard,Washington,126
1971,Harmon Killebrew,Minnesota,119
1972,Dick Allen,Chicago,113
1973,Reggie Jackson,Oakland,117
1974,Jeff Burroughs,Texas,118
1975,George Scott,Milwaukee,109
1976,Lee May,Baltimore,109
1977,Larry Hisle,Minnesota,119
1978,Jim Rice,Boston,139
1979,Don Baylor,California,139
1980,Cecil Cooper,Milwaukee,122
1981,Eddie Murray,Baltimore,78
1982,Hal McRae,Kansas City,133
1983,Cecil Cooper,Milwaukee,126
1984,Tony Armas,Boston,123
1985,Don Mattingly,New York,145
1986,Joe Carter,Cleveland,121
1987,George Bell,Toronto,134
1988,Jose Canseco,Oakland,124
1989,Ruben Sierra,Texas,119
1990,Cecil Fielder,Detroit,132
1991,Cecil Fielder,Detroit,133
1992,Cecil Fielder,Detroit,124
1993,Albert Belle,Cleveland,129
1994,Kirby Puckett,Minnesota,112
1995,Albert Belle,Cleveland,126
1996,Albert Belle,Cleveland,148
1997,"Ken Griffey, Jr.",Seattle,147
1998,Juan Gonzalez,Texas,157
1999,Manny Ramirez,Cleveland,165
2000,Edgar Martinez,Seattle,145
2001,Bret Boone,Seattle,141
2002,Alex Rodriguez,Texas,142
2003,Carlos Delgado,Toronto,145
2004,Miguel Tejada,Baltimore,150
2005,David Ortiz,Boston,148
2006,David Ortiz,Boston,137
2007,Alex Rodriguez,New York,156
2008,Josh Hamilton,Texas,130
2009,Mark Teixeira,New York,122
2010,Miguel Cabrera,Detroit,126
2011,Curtis Granderson,New York,119
2012,Miguel Cabrera,Detroit,139
2013,Chris Davis,Baltimore,138
2014,Mike Trout,Los Angeles,111
2015,Josh Donaldson,Toronto,123
2016,Edwin Encarnacion,Toronto,127
2017,Nelson Cruz,Seattle,119
2018,J.D. Martinez,Boston,130
2019,José Abreu,Chicago,123
2020,José Abreu,Chicago,60
2021,Salvador Perez,Kansas City,121
2022,Aaron Judge,New York,131
2023,Kyle Tucker,Houston,112
2024,Aaron Judge,New York,144
2025,Aaron Judge,New York,60
